Origin,Type,Petitions
Fifth Circuit,Circuit,421
Ninth Circuit,Circuit,382
Eleventh Circuit,Circuit,250
Sixth Circuit,Circuit,224
Fourth Circuit,Circuit,212
Eighth Circuit,Circuit,179
Third Circuit,Circuit,165
Second Circuit,Circuit,129
Seventh Circuit,Circuit,119
Tenth Circuit,Circuit,117
First Circuit,Circuit,79
Dist. of Columbia Circuit,Circuit,65
Federal Circuit,Circuit,62
Supreme Court of Florida,State/Other,38
Court of Criminal Appeals of Texas,State/Other,33
Court of Criminal Appeals of Oklahoma,State/Other,28
Dist. Court of Appeal of Florida - Fourth Dist.,State/Other,24
Court of Appeal of California - Second App. Dist.,State/Other,21
Supreme Court of Virginia,State/Other,21
Supreme Court of California,State/Other,17
Supreme Court of Louisiana,State/Other,17
