Origin,Type,Petitions
Supreme Court of Louisiana,State/Other,17
Court of Appeals of Minnesota,State/Other,14
Supreme Court of Ohio,State/Other,12
Court of Appeals of Arizona - Div. One,State/Other,11
Court of Appeals of Colorado,State/Other,10
App. Court of Illinois - First Dist.,State/Other,9
Court of Appeal of California - First App. Dist.,State/Other,9
Dist. Court of Appeal of Florida - Second Dist.,State/Other,9
Dist. of Columbia Court of Appeals,State/Other,9
Superior Court of New Jersey - App. Div.,State/Other,9
Superior Court of Pennsylvania - Philadelphia Office,State/Other,9
Court of Appeals for the Armed Forces,State/Other,9
Appeals Court of Massachusetts,State/Other,8
Court of Appeals of Texas - First Dist.,State/Other,8
Supreme Court of Alabama,State/Other,8
Supreme Court of Colorado,State/Other,8
Supreme Court of New Hampshire,State/Other,8
Court of Appeal of California - Third App. Dist.,State/Other,7
Court of Appeals of Kentucky,State/Other,7
Court of Appeals of New York,State/Other,7
Dist. Court of Appeal of Florida - Fifth Dist.,State/Other,7
