Attorney,Firm,Law School,SCOTUS Clerkship,Repeat Appearance,Num. Previous Cases
Daniel L. Geyser,Haynes and Boone,Harvard,NA,Yes,15
David C. Frederick,Kellogg Hansen,Texas,White,Yes,59
David D. Cole,ACLU,Yale,NA,Yes,7
David J. Harris Jr,Harris LLP,Boston,NA,No,0
E. Joshua Rosenkranz,Orrick Herrington and Sutcliffe,Georgetown,Brennan,Yes,20
Easha Anand,Stanford Law School,Berkeley,Sotomayor,No,0
Edmund G. Lacour Jr.,AL SG Office,Yale,NA,Yes,1
Edwin S. Kneedler,SG Office,Virginia,NA,Yes,149
Elizabeth B. Prelogar,SG Office,Harvard,Kagan and  Ginsburg,Yes,23
Ephraim Mcdowell,SG Office,Harvard,Kagan,Yes,1
Eric J. Feigin,SG Office,Stanford,Breyer,Yes,34
Eric T. Lee,Diamante Law,Minnesota,NA,No,NA
Erica L. Ross,SG Office,Stanford,Kagan,Yes,13
Erin M. Hawley,Alliance Defending Freedom,Yale,Roberts,No,0
Eugene Scalia,Gibson Dunn,Chicago,NA,No,1
Frederick Liu,SG Office,Yale,Roberts,Yes,12
Gadeir Abbas,Council on American Islamic Relations,Case Western Reserve,NA,No,0
Gregory G. Garre,Latham Watkins,George Washington,NA,Yes,48
Hari Santhanam,Perkins Cole,Northwestern,NA,No,0
Hashim M. Mooppan,Jones Day,Harvard Law School,Scalia,Yes,4
Henry C. Whitaker,FL SG Office,Harvard,Thomas,Yes,1
Howard J. Bashman,Law Offices of Howard J. Bashman,Emory,NA,No,0
J. Matthew Wright,DOJ,Arkansas,NA,No,0
Jaime A. Santos,Goodwin,Harvard,NA,No,0
Jason C. Murray,Olson Grimsley,Harvard,Kagan,No,0
