Attorney,Firm,Law School,SCOTUS Clerkship,Repeat Appearance,Num. Previous Cases
Jason D. Lewis,AZ AG Office,Arizona State,NA,No,0
Jean-Claude Andre,Bryan Cave Leighton Paisner,Virginia,NA,Yes,3
Jeffrey B. Wall,Sullivan and Cromwell,Chicago,Thomas,Yes,30
Jeffrey J. Wechsler,Montgomery and Andrews,Utah,NA,Yes,1
Jeffrey L. Fisher,O'Melveny,Michigan,Stevens,Yes,45
Jeffrey T. Green,Sidley Austin,UC Davis,NA,Yes,3
Jennifer D. Bennett,Jones Day,Santa Clara,NA,Yes,2
Jessica L. Ellsworth,Hogan Lovells,Harvard,NA,No,0
Joe Wesley Earnhardt,Cravath Swaine Moore,UNC,NA,No,0
John M. Gore,Jones Day,Texas,NA,No,0
Jonathan E. Taylor,Gupta and Wessler,Harvard,NA,No,0
Jonathan F. Mitchell,Mitchell Law PLLC,Chicago,Scalia,Yes,5
Joshua N. Turner,ID AG,Liberty,NA,No,0
Joshua P. Davis,Berger Montague,NYU,NA,No,0
Judith N. Vale,NY AG Office,Georgetown,NA,Yes,1
Kannon K. Shanmugam,Paul Weiss,Harvard,Scalia,Yes,36
Kelsi B. Corkran,Georgetown Law School,Chicago,Ginsburg,Yes,2
Lanora C. Pettit,TX AG Office,Virginia,NA,Yes,1
Leah C. Aden,Legal Defense Fund,Howard,NA,No,0
Linda T. Coberly,Winston and Strawn,Michigan,Breyer,No,0
Lisa S. Blatt,Williams and Connolly,Texas,Ginsburg,Yes,46
Lloyd B. Miller,Sonosky,Virginia,NA,Yes,1
Malcolm L. Stewart,SG Office,Yale,NA,Yes,98
Masha G. Hansford,SG Office,Stanford,NA,Yes,5
Mathura J. Sridharan,Ohio SG Office,NYU,NA,No,0
