Attorney,Firm,Law School,SCOTUS Clerkship,Repeat Appearance,Num. Previous Cases
Aaron L. Nielson,TX AG Office,Harvard,Alito,Yes,1
Adam G. Unikowsky,Jenner and Block,Harvard,Scalia,Yes,8
Aileen M. Mcgrath,Akin Gump,Harvard,Breyer,No,0
Aimee W. Brown,SG Office,Chicago,Alito,Yes,1
Alexander W. Samuels,AZ AG Office,Harvard,NA,No,0
Allon Kedem,Arnold and Porter,Yale,Kagan,Yes,12
Allyson N. Ho,Gibson Dunn,Chicago,O'Connor,Yes,4
Andrew Adler,FL State Public Defender,Miami,NA,Yes,2
Andrew M. Grossman,Baker Law,George Mason,NA,No,0
Anthony A. Yang,SG Office,Yale,NA,Yes,36
Anya A. Bidwell,Institure for Justice,Texas,NA,No,0
Austin Raynor,SG Office,Virginia,Thomas,Yes,6
Benjamin Aguinaga,LA SG Office,LSU,Alito,No,0
Benjamin W. Snyder,SG Office,Harvard,Roberts,Yes,7
Brian H. Fletcher,SG Office,Harvard,Ginsburg,Yes,20
Brian Wolfman,Georgetown University,Harvard,NA,Yes,6
Bryan K. Weir,Consovoy,George Mason,NA,No,0
C. Kevin Marshall,Jones Day,Chicago,Thomas,No,0
Caroline A. Flynn,SG Office,Michigan,Roberts,Yes,1
Catherine E. Stetson,Hogan Lovells,Virginia,NA,Yes,2
Charles L. Mccloud,SG Office,Harvard,NA,Yes,1
Colleen R. Sinzdak,SG Office,Harvard,Roberts,Yes,7
Curtis E. Gannon,SG Office,Chicago,Scalia,Yes,29
D. John Sauer,SG Office,Harvard,Scalia,Yes,1
D. Nick Harper,Gibson Dunn,Chicago,Kavanaugh,No,0
