Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Royal Canin v. Wullschleger,23-677,10/07/24,01/15/25,CA8,Affirm,Kagan,(9-0)
E.M.D. Sales Inc v. Carrera,23-217,11/05/24,01/15/25,CA4,Reverse and Remand,Kavanaugh,(9-0)
TikTok Inc. v. Garland,24-656,01/10/25,01/17/25,CADC,Affirm,Per Curiam,(9-0)
Andrew v. White,23-6573, ,01/21/25,CA10,Vacate and Remand,Per Curiam,Per Curiam
Hungary v. Simon,23-867,12/03/24,02/21/25,CADC,Vacate and Remand,Sotomayor,(9-0)
Wisconsin Bell  v. United States ex rel. Heath,23-1127,11/04/24,02/21/25,CA7,Affirm and Remand,Kagan,(9-0)
Williams v. Washington,23-191,10/07/24,02/21/25,SCAL,Reverse and Remand,Kavanaugh,(5-4)
Lackey v. Stinnie,23-621,10/08/24,02/25/25,CA4,Reverse and Remand,Roberts,(7-2)
Hamm v. Smith,23-167, ,11/04/24,CA11,Vacate and Remand,Per Curiam,Per Curiam
Facebook v. Amalgamated Bank,23-980,11/06/24,11/22/24,CA9,DIG,Per Curiam,Per Curiam
Bouarafa v. Mayorkas,23-583,10/15/24,12/10/24,CA11,Affirm,Jackson,(9-0)
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970, ,12/11/24,CA9,DIG,Per Curiam,Per Curiam
